['AHAC47204', '安徽省合肥市安徽百姓缘大药房连锁有限公司肥东分公司', '安徽省合肥市肥东县新街12号\n', '31.88281,117.46963']
['AHAC101909', '安徽百姓缘大药房连锁有限公司撮镇南大街店', '肥东县撮镇镇南大街82号\n', '31.825201,117.468086']
['AHAA65821', '安徽百姓缘大药房连锁有限公司临淮路店', '合肥市临淮路双窑洞商业1号第1层\n', '31.87036,117.31669']
['AHAA68728', '安徽百姓缘大药房连锁有限公司黄山路店', '合肥市蜀山区绩溪路251号30幢一楼沿街东边（安医住院部对面）\n', '31.84562000000001,117.26734']
['AHAA67777', '安徽百姓缘大药房连锁有限公司桐城南路店', '安徽省合肥市桐城南路与水阳江路交口永辉超市内\n', '31.820736,117.276985']
['AHAA65414', '安徽百姓缘大药房连锁有限公司为民淮河路店', '合肥市庐阳区淮河路340号\n', '31.86719000000001,117.27839000000002']
['AHAC101908', '安徽百姓缘大药房连锁有限公司肥东石塘镇金桥街店', '肥东县石塘镇金桥街152号\n', '31.93554,117.63773']
['AHAA68469', '安徽百姓缘大药房连锁有限公司百姓缘临滨苑店', '合肥市包河区福州路与广西路交口滨湖世纪城临滨苑10栋101室\n', '31.74447,117.29085999999998']
['AHAA65239', '安徽百姓缘大药房连锁有限公司荣城花园北苑店', '合肥市庐阳区荣城花园北苑\n', '31.92286,117.27117']
['AHAA67230', '安徽百姓缘大药房连锁有限公司滨湖世纪城店', '合肥市滨湖世纪城徽杰苑13-102室\n', '31.742508,117.299716']
['AHAA68467', '安徽百姓缘大药房连锁有限公司百姓缘格兰云天店', '安徽省合肥市新站区当涂路格兰云天9幢商业101室\n', '31.893920000000005,117.3394']
['AHAA65017', '合肥为民大药房连锁有限公司贵池路店', '合肥市蜀山区贵池路长江花园9幢6#门面\n', '31.84557,117.24723']
['AHAA69023', '安徽百姓缘大药房连锁有限公司双七路二店', '安徽省合肥市新站区双七路中兴西湖花园23幢商业106室\n', '31.889239999999997,117.32221999999999']
['AHAA68187', '安徽百姓缘大药房连锁有限公司菱水苑店', '合肥市水阳江路菱水苑北7幢112室\n', '31.819710000000004,117.28680000000001']
['AHAA65016', '合肥为民大药房连锁有限公司太湖路店', '合肥市包河区太湖西路16号田逸苑A幢3-101号\n', '31.832429999999995,117.28113000000003']
